Designator,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation
P5,TopLayer,HDR1X7,60,470,90
C6,BottomLayer,0603_C,210,1030,90
P3,TopLayer,HDR1X3,60,1025,270
USB1,TopLayer,USB_TYPEC,803.544,212.363,0
D2,TopLayer,0603_LED_RED,415,1445,90
D1,TopLayer,0603_LED_RED,1135.945,52,0
Y1,TopLayer,XTAL-3225,335.63,1089.213,0
U3,TopLayer,QFN24,370,635,270
U2,TopLayer,SOT-223,1205.551,592.952,270
U1,TopLayer,LQFP-48P,640,1105,270
CH340E,BottomLayer,MSOP-10P[0.5],925,625,90
R14,TopLayer,0603_R,1215,1020,270
R13,TopLayer,0603_R,1200,1110,180
R12,TopLayer,0603_R,1276.496,64.997,0
R11,TopLayer,0603_R,580,670,0
R10,TopLayer,0603_R,189.997,508.504,270
R9,TopLayer,0603_R,313.504,460.003,0
R8,TopLayer,0603_R,330,1445,270
R5,BottomLayer,0603_R,460,345,180
R4,BottomLayer,0603_R,1230,465,0
R3,BottomLayer,0603_R,1100,460,0
R2,BottomLayer,0603_R,145,145,180
R1,TopLayer,0603_R,610,1395,270
P4,TopLayer,HDR1X4,1190,1555,90
P2,BottomLayer,HDR1X4,680,1710,0
P1,TopLayer,HDR1X4,1312.5,1557.5,270
K4,BottomLayer,key,448.74,153.423,180
K3,BottomLayer,KEY-4.5*4.5mm,1190,125,0
K2,BottomLayer,KEY-4.5*4.5mm,1194.921,315.945,0
K1,BottomLayer,KEY-4.5*4.5mm,210,400,90
C19,TopLayer,0603_C,700,495,270
C18,TopLayer,0603_C,586.496,459.997,0
C17,TopLayer,0603_C,583.504,600.003,0
C16,TopLayer,0603_C,583.504,530.003,0
C15,TopLayer,0603_C,436.496,459.997,180
C14,TopLayer,0603_C,940,1125,0
C13,TopLayer,0603_C,335,1300,180
C12,TopLayer,0603_C,940,1205,0
C11,TopLayer,0603_C,750,820,270
C10,TopLayer,0603_C,530.003,1391.496,90
C9,TopLayer,0603_C,1080,790,270
C8,TopLayer,CTan-A,1230,255,90
C7,TopLayer,0603_C,1320,245,90
C5,BottomLayer,0603_C,1231.496,535.003,180
C4,BottomLayer,0603_C,1096.496,535.003,180
C3,TopLayer,0603_C,335,1220,180
C2,TopLayer,0603_C,335,940,0
C1,BottomLayer,0603_C,144.252,58.74,180
